# Goxel 0.13.0
# One line per voxel
# X Y Z RRGGBB
-16 -16 0 000000
-15 -16 0 ff0000
-14 -16 0 ff0000
-13 -16 0 ff0000
-12 -16 0 ff0000
-11 -16 0 ff0000
-10 -16 0 ff0000
-9 -16 0 ff0000
-8 -16 0 ff0000
-7 -16 0 ff0000
-6 -16 0 ff0000
-5 -16 0 ff0000
-4 -16 0 ff0000
-3 -16 0 ff0000
-2 -16 0 ff0000
-1 -16 0 ff0000
-16 -15 0 66ff00
-15 -15 0 66ff00
-14 -15 0 66ff00
-13 -15 0 66ff00
-12 -15 0 66ff00
-11 -15 0 66ff00
-10 -15 0 66ff00
-9 -15 0 66ff00
-8 -15 0 66ff00
-7 -15 0 66ff00
-6 -15 0 66ff00
-5 -15 0 66ff00
-4 -15 0 66ff00
-3 -15 0 66ff00
-2 -15 0 66ff00
-1 -15 0 66ff00
-16 -14 0 66ff00
-15 -14 0 66ff00
-14 -14 0 66ff00
-13 -14 0 66ff00
-12 -14 0 66ff00
-11 -14 0 66ff00
-10 -14 0 66ff00
-9 -14 0 66ff00
-8 -14 0 66ff00
-7 -14 0 66ff00
-6 -14 0 66ff00
-5 -14 0 66ff00
-4 -14 0 66ff00
-3 -14 0 66ff00
-2 -14 0 66ff00
-1 -14 0 66ff00
-16 -13 0 66ff00
-15 -13 0 66ff00
-14 -13 0 66ff00
-13 -13 0 66ff00
-12 -13 0 66ff00
-11 -13 0 66ff00
-10 -13 0 66ff00
-9 -13 0 66ff00
-8 -13 0 66ff00
-7 -13 0 66ff00
-6 -13 0 66ff00
-5 -13 0 66ff00
-4 -13 0 66ff00
-3 -13 0 66ff00
-2 -13 0 66ff00
-1 -13 0 66ff00
-16 -12 0 66ff00
-15 -12 0 66ff00
-14 -12 0 66ff00
-13 -12 0 66ff00
-12 -12 0 66ff00
-11 -12 0 66ff00
-10 -12 0 66ff00
-9 -12 0 66ff00
-8 -12 0 66ff00
-7 -12 0 66ff00
-6 -12 0 66ff00
-5 -12 0 66ff00
-4 -12 0 66ff00
-3 -12 0 66ff00
-2 -12 0 66ff00
-1 -12 0 66ff00
-16 -11 0 66ff00
-15 -11 0 66ff00
-14 -11 0 66ff00
-13 -11 0 66ff00
-12 -11 0 66ff00
-11 -11 0 66ff00
-10 -11 0 66ff00
-9 -11 0 66ff00
-8 -11 0 66ff00
-7 -11 0 66ff00
-6 -11 0 66ff00
-5 -11 0 66ff00
-4 -11 0 66ff00
-3 -11 0 66ff00
-2 -11 0 66ff00
-1 -11 0 66ff00
-16 -10 0 66ff00
-15 -10 0 66ff00
-14 -10 0 66ff00
-13 -10 0 66ff00
-12 -10 0 66ff00
-11 -10 0 66ff00
-10 -10 0 66ff00
-9 -10 0 66ff00
-8 -10 0 66ff00
-7 -10 0 66ff00
-6 -10 0 66ff00
-5 -10 0 66ff00
-4 -10 0 66ff00
-3 -10 0 66ff00
-2 -10 0 66ff00
-1 -10 0 66ff00
-16 -9 0 66ff00
-15 -9 0 66ff00
-14 -9 0 66ff00
-13 -9 0 66ff00
-12 -9 0 66ff00
-11 -9 0 66ff00
-10 -9 0 66ff00
-9 -9 0 66ff00
-8 -9 0 66ff00
-7 -9 0 66ff00
-6 -9 0 66ff00
-5 -9 0 66ff00
-4 -9 0 66ff00
-3 -9 0 66ff00
-2 -9 0 66ff00
-1 -9 0 66ff00
-16 -8 0 66ff00
-15 -8 0 66ff00
-14 -8 0 66ff00
-13 -8 0 66ff00
-12 -8 0 66ff00
-11 -8 0 66ff00
-10 -8 0 66ff00
-9 -8 0 66ff00
-8 -8 0 66ff00
-7 -8 0 66ff00
-6 -8 0 66ff00
-5 -8 0 66ff00
-4 -8 0 66ff00
-3 -8 0 66ff00
-2 -8 0 66ff00
-1 -8 0 66ff00
-16 -7 0 66ff00
-15 -7 0 66ff00
-14 -7 0 66ff00
-13 -7 0 66ff00
-12 -7 0 66ff00
-11 -7 0 66ff00
-10 -7 0 66ff00
-9 -7 0 66ff00
-8 -7 0 66ff00
-7 -7 0 66ff00
-6 -7 0 66ff00
-5 -7 0 66ff00
-4 -7 0 66ff00
-3 -7 0 66ff00
-2 -7 0 66ff00
-1 -7 0 66ff00
-16 -6 0 66ff00
-15 -6 0 66ff00
-14 -6 0 66ff00
-13 -6 0 66ff00
-12 -6 0 66ff00
-11 -6 0 66ff00
-10 -6 0 66ff00
-9 -6 0 66ff00
-8 -6 0 66ff00
-7 -6 0 66ff00
-6 -6 0 66ff00
-5 -6 0 66ff00
-4 -6 0 66ff00
-3 -6 0 66ff00
-2 -6 0 66ff00
-1 -6 0 66ff00
-16 -5 0 66ff00
-15 -5 0 66ff00
-14 -5 0 66ff00
-13 -5 0 66ff00
-12 -5 0 66ff00
-11 -5 0 66ff00
-10 -5 0 66ff00
-9 -5 0 66ff00
-8 -5 0 66ff00
-7 -5 0 66ff00
-6 -5 0 66ff00
-5 -5 0 66ff00
-4 -5 0 66ff00
-3 -5 0 66ff00
-2 -5 0 66ff00
-1 -5 0 66ff00
-16 -4 0 66ff00
-15 -4 0 66ff00
-14 -4 0 66ff00
-13 -4 0 66ff00
-12 -4 0 66ff00
-11 -4 0 66ff00
-10 -4 0 66ff00
-9 -4 0 66ff00
-8 -4 0 66ff00
-7 -4 0 66ff00
-6 -4 0 66ff00
-5 -4 0 66ff00
-4 -4 0 66ff00
-3 -4 0 66ff00
-2 -4 0 66ff00
-1 -4 0 66ff00
-16 -3 0 66ff00
-15 -3 0 66ff00
-14 -3 0 66ff00
-13 -3 0 66ff00
-12 -3 0 66ff00
-11 -3 0 66ff00
-10 -3 0 66ff00
-9 -3 0 66ff00
-8 -3 0 66ff00
-7 -3 0 66ff00
-6 -3 0 66ff00
-5 -3 0 66ff00
-4 -3 0 66ff00
-3 -3 0 66ff00
-2 -3 0 66ff00
-1 -3 0 66ff00
-16 -2 0 66ff00
-15 -2 0 66ff00
-14 -2 0 66ff00
-13 -2 0 66ff00
-12 -2 0 66ff00
-11 -2 0 66ff00
-10 -2 0 66ff00
-9 -2 0 66ff00
-8 -2 0 66ff00
-7 -2 0 66ff00
-6 -2 0 66ff00
-5 -2 0 66ff00
-4 -2 0 66ff00
-3 -2 0 66ff00
-2 -2 0 66ff00
-1 -2 0 66ff00
-16 -1 0 66ff00
-15 -1 0 66ff00
-14 -1 0 66ff00
-13 -1 0 66ff00
-12 -1 0 66ff00
-11 -1 0 66ff00
-10 -1 0 66ff00
-9 -1 0 66ff00
-8 -1 0 66ff00
-7 -1 0 66ff00
-6 -1 0 66ff00
-5 -1 0 66ff00
-4 -1 0 66ff00
-3 -1 0 66ff00
-2 -1 0 66ff00
-1 -1 0 66ff00
-16 -16 1 0000ff
-16 -15 1 cc00ff
-15 -15 1 cc00ff
-14 -15 1 cc00ff
-13 -15 1 cc00ff
-12 -15 1 cc00ff
-11 -15 1 cc00ff
-10 -15 1 cc00ff
-9 -15 1 cc00ff
-8 -15 1 cc00ff
-7 -15 1 cc00ff
-6 -15 1 cc00ff
-5 -15 1 cc00ff
-4 -15 1 cc00ff
-3 -15 1 cc00ff
-2 -15 1 cc00ff
-1 -15 1 cc00ff
-16 -16 2 0000ff
-16 -15 2 cc00ff
-15 -15 2 cc00ff
-14 -15 2 cc00ff
-13 -15 2 cc00ff
-12 -15 2 cc00ff
-11 -15 2 cc00ff
-10 -15 2 cc00ff
-9 -15 2 cc00ff
-8 -15 2 cc00ff
-7 -15 2 cc00ff
-6 -15 2 cc00ff
-5 -15 2 cc00ff
-4 -15 2 cc00ff
-3 -15 2 cc00ff
-2 -15 2 cc00ff
-1 -15 2 cc00ff
-16 -14 2 cc00ff
-15 -14 2 cc00ff
-14 -14 2 cc00ff
-13 -14 2 cc00ff
-12 -14 2 cc00ff
-11 -14 2 cc00ff
-10 -14 2 cc00ff
-9 -14 2 cc00ff
-8 -14 2 cc00ff
-7 -14 2 cc00ff
-6 -14 2 cc00ff
-5 -14 2 cc00ff
-4 -14 2 cc00ff
-3 -14 2 cc00ff
-2 -14 2 cc00ff
-1 -14 2 cc00ff
-16 -16 3 0000ff
-16 -14 3 cc00ff
-15 -14 3 cc00ff
-14 -14 3 cc00ff
-13 -14 3 cc00ff
-12 -14 3 cc00ff
-11 -14 3 cc00ff
-10 -14 3 cc00ff
-9 -14 3 cc00ff
-8 -14 3 cc00ff
-7 -14 3 cc00ff
-6 -14 3 cc00ff
-5 -14 3 cc00ff
-4 -14 3 cc00ff
-3 -14 3 cc00ff
-2 -14 3 cc00ff
-1 -14 3 cc00ff
-16 -13 3 cc00ff
-15 -13 3 cc00ff
-14 -13 3 cc00ff
-13 -13 3 cc00ff
